S.No ,State Name ,Capital ,Area ,Population,State Established ,Largest City ,Languages
1,Andhra Pradesh,"Hyderabad (de jure)
Amaravati (de facto)
Visakhapatnam(Administrative )","1,60,205 Sq Km",49.67 Million,01-10-53,Visakhapatnam,Telugu 
2,Arunachal Pradesh,Itanagar,"83,743 sq. km","13,82,611 ",20-02-87,Itanagar,"Monpa, Miji, Aka, Sherdukpen, 
Nyishi, Apatani, Tagin, Hill 
Miri, Adi, Digaru-Mismi, Idu-Mishmi,
 Khamti, Miju-Mishmi, Nocte, Tangsa 
and Wancho."
3,Assam,Dispur,"78,438 sq. km","3,11,69,272 ",26-01-50,Guwahati,Assamese
4,Bihar ,Patna,"94,163 sq. km","10,38,04,637",26-01-50,Patna,"Hindi ,Urdu"
5,Chhattisgarh,Naya Raipur,"1,36,034 sq. km","2,55,40,196 ",01-11-00,Raipur,Hindi
6,Goa,Panaji,"3,702 sq. km","14,57,723 ",30-05-87,Vasco da Gama,"Konkani(official Language),
Marathi, Hindi, English, Kannada"
7,Gujarat,Gandhinagar,"1,96,024 sq. km","6,03,83,628 ",01-05-60,Ahmedabad,Gujarati
8,Haryana,Chandigarh,"44,212 sq. km","2,53,53,081 ",01-11-66,Faridabad,Hindi
9,Himachal Pradesh,"Shimla (Summer)
Dharamsala (Winter)","55,673 sq. km","68,56,509 ",25-01-71,Shimla ,Hindi & Pahari
10,Jharkhand,Ranchi,"79,714 sq. km","3,11,69,272 ",15-11-00,Jamshedpur,Hindi
11,Karnataka,Bangalore,"1,91,791 sq. km","6,11,30,704",01-11-56,Bengaluru,Kannada
12,Kerala,Thiruvananthapuram,"38,863 sq. km","3,33,87,677 ",01-11-56,Malappuram,Malayalam
13,Madhya Pradesh,Bhopal,"3,08,000 sq. km","7,25,97,565 ",01-11-56,Indore,Hindi
14,Maharashtra,Mumbai ,"3,07,713 sq. km","11,23,72,972",01-05-60,Mumbai ,Marathi
15,Manipur,Imphal,"22,327 sq. km","27,21,756 ",21-01-72,manipur ,Manipuri
16,Meghalaya,Shillong,"22,429 sq. km","29,64,007 ",21-01-72,Shillong,"Khasi, Garo and English"
17,Mizoram,Aizawl,"21,081 sq. km","10,91,014 ",20-02-87,Aizawl,Mizo and English
18,Nagaland,Kohima,"16,579 sq. km","19,80,602 ",01-12-63,Dimapur,"English, Hindi and 16 tribal dialects"
19,Odisha,Bhubaneshwar,"1,55,707 sq. km","4,19,47,358",26-01-50,Bhubaneswar,Oriya
20,Punjab,Chandigarh,"50,362 sq. km","2,77,04,236 ",01-11-66,Ludhiana,Punjabi
21,Rajasthan,Jaipur,"3,42,239 sq. km","6,86,21,012",01-11-56,Jaipur ,Hindi and Rajasthani
22,Sikkim,Gangtok,"7,096 sq. km","6,07,688",16-05-75,Gangtok,"Lepcha, Bhutia and Nepali"
23,Tamil Nadu,Chennai,"1,30,058 sq. km","7,21,38,958",26-01-50,Tamil,Chennai
24,Telangana ,Hyderabad,"112,077 Sq. Kms",350.04 Lakhs,02-06-14,Hyderabad,"Telugu, Urdu"
25,Tripura,Agartala,"10,491.69 km2","36,71,032",21-01-72,Agartala,Bengali and Kokborok
26,Uttarakhand,"Gairsain (Summer)
Dehradun (Winter)","53,484 sq. km","1,01,16,752",26-01-50,Dehradun,"Hindi, Garhwali, Kumaoni"
27,Uttar Pradesh ,Lucknow,"2,40,928 sq. km","19,95,81,477 ",09-11-00,Lucknow,Hindi and Urdu
28,West Bengal,Kolkata,"88,752 sq. km","9,13,47,736",26-01-50,Kolkata,Bengali
